,Year,Age,AgeDif,Tm,Lg,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,PlayerID,Rookie_Season,Rookie_rOBA
0,1998,19,-0.2,Rockies,ARIZ,Rk,COL,40,168,148,25,41,5,3,0,17,8,1,12,25,.277,.339,.351,.691,52,1,3,3,2,0,uribeju01,2001.0,0.369
1,1999,20,-1.5,Asheville,SALL,A,COL,125,471,430,57,115,28,3,9,46,11,7,20,79,.267,.307,.409,.716,176,12,6,11,4,0,uribeju01,2001.0,0.369
2,2000,21,-1.6,Salem,CARL,A+,COL,134,533,485,64,124,22,7,13,65,22,5,38,100,.256,.314,.410,.724,199,11,4,4,2,0,uribeju01,2001.0,0.369
0,1991,17,-2.0,Astros,GULF,Rk,HOU,56,206,183,21,55,7,3,0,20,10,6,17,27,.301,.358,.372,.729,68,3,1,2,3,0,abreubo01,1997.0,0.33
1,1992,18,-3.2,Asheville,SALL,A,HOU,135,549,480,81,140,21,4,8,48,15,11,63,79,.292,.375,.402,.777,193,5,3,0,3,1,abreubo01,1997.0,0.33
2,1993,19,-3.3,Osceola,FLOR,A+,HOU,129,530,474,62,134,21,17,5,55,10,14,51,90,.283,.352,.430,.782,204,8,1,1,3,1,abreubo01,1997.0,0.33
3,1994,20,-3.9,Jackson,TL,AA,HOU,118,451,400,61,121,25,9,16,73,12,10,42,81,.303,.368,.530,.898,212,2,3,0,6,3,abreubo01,1997.0,0.33
4,1995,21,-5.5,Tucson,PCL,AAA,HOU,114,491,415,72,126,24,17,10,75,16,14,67,120,.304,.395,.516,.911,214,6,1,0,8,9,abreubo01,1997.0,0.33
5,1996,22,-4.2,Tucson,PCL,AAA,HOU,132,573,484,86,137,14,16,13,68,24,18,83,111,.283,.389,.459,.847,222,6,2,2,2,3,abreubo01,1997.0,0.33
0,1993,18,-0.9,Yankees,GULF,Rk,NYY,45,175,161,16,35,3,3,2,20,2,0,9,37,.217,.280,.311,.591,50,2,5,0,0,0,seguife01,1999.0,0.355
1,1994,19,-2.0,Oneonta,NYPL,A-,NYY,73,284,266,36,77,14,9,2,32,4,6,16,61,.289,.335,.432,.767,115,6,2,0,0,1,seguife01,1999.0,0.355
2,1995,20,-1.3,Albany,SALL,A,MON,121,498,457,59,95,22,2,12,66,12,8,28,141,.208,.260,.344,.603,157,6,6,1,6,3,seguife01,1999.0,0.355
3,1996,21,-0.2,Delmarva,SALL,A,MON,118,465,410,59,98,14,5,8,55,12,13,48,126,.239,.327,.356,.683,146,5,6,0,1,4,seguife01,1999.0,0.355
4,1997,22,-0.6,West Palm Beach,FLOR,A+,MON,124,505,456,70,116,27,5,18,83,5,5,30,129,.254,.299,.454,.753,207,1,5,0,14,3,seguife01,1999.0,0.355
6,1998,23,-3.3,Ottawa,IL,AAA,MON,32,124,109,16,28,8,0,6,16,0,0,12,43,.257,.333,.495,.829,54,1,1,1,1,0,seguife01,1999.0,0.355
7,1998,23,-0.8,Harrisburg,EL,AA,MON,80,317,281,54,81,13,0,25,69,6,1,29,77,.288,.366,.601,.967,169,6,6,0,1,4,seguife01,1999.0,0.355
0,1990,20,-0.8,Oneonta,NYPL,A-,NYY,73,305,276,47,92,13,7,4,54,19,6,23,31,.333,.393,.475,.868,131,,5,0,1,0,jordake01,1996.0,0.334
1,1991,21,-1.3,Fort Lauderdale,FLOR,A+,NYY,121,502,448,61,122,25,5,4,53,14,4,37,66,.272,.339,.377,.716,169,13,11,0,6,4,jordake01,1996.0,0.334
2,1992,22,-0.1,Prince William,CARL,A+,NYY,112,474,438,67,136,29,8,8,63,6,4,27,54,.311,.351,.468,.819,205,9,3,1,5,3,jordake01,1996.0,0.334
3,1993,23,-0.6,Albany-Colonie,EL,AA,NYY,135,567,513,87,145,33,4,16,87,8,4,41,53,.283,.344,.456,.800,234,8,9,0,4,2,jordake01,1996.0,0.334
4,1994,24,-1.9,Scranton/Wilkes-Barre,IL,AAA,PHI,81,353,314,44,91,22,1,12,57,0,2,29,28,.290,.348,.481,.829,151,9,3,0,7,2,jordake01,1996.0,0.334
5,1995,25,-1.4,Scranton/Wilkes-Barre,IL,AAA,PHI,106,453,410,61,127,29,4,5,60,3,0,28,36,.310,.361,.437,.797,179,14,8,1,6,0,jordake01,1996.0,0.334
0,1987,17,-3.9,Spokane,NORW,A-,SDP,70,283,244,52,61,8,2,2,24,8,5,35,38,.250,.346,.324,.670,79,,1,3,0,2,valenjo03,1994.0,0.344
1,1988,18,-3.3,Charleston SC,SALL,A,SDP,133,505,444,56,103,20,1,6,44,11,4,45,83,.232,.304,.322,.627,143,,3,9,4,1,valenjo03,1994.0,0.344
3,1989,19,-4.7,Wichita,TL,AA,SDP,18,57,49,8,12,1,0,2,5,1,0,5,12,.245,.315,.388,.703,19,,0,3,0,1,valenjo03,1994.0,0.344
4,1989,19,-3.4,Riverside,CALL,A,SDP,114,430,381,40,74,10,5,10,41,8,7,37,93,.194,.273,.325,.598,124,,5,5,2,1,valenjo03,1994.0,0.344
5,1990,20,-3.9,Wichita,TL,AA,SDP,11,42,36,4,10,2,0,0,2,2,1,5,7,.278,.366,.333,.699,12,,0,1,0,0,valenjo03,1994.0,0.344
6,1991,21,-3.0,Wichita,TL,AA,SDP,129,515,447,73,112,22,5,17,68,8,6,55,115,.251,.335,.436,.771,195,5,4,4,5,1,valenjo03,1994.0,0.344
7,1992,22,-4.8,Denver,AA,AAA,MIL,139,565,492,78,118,19,11,3,45,9,4,53,99,.240,.317,.341,.658,168,8,5,9,6,2,valenjo03,1994.0,0.344
9,1993,23,-4.2,New Orleans,AA,AAA,MIL,122,462,389,56,96,22,5,9,53,9,10,47,87,.247,.337,.398,.736,155,3,8,14,4,2,valenjo03,1994.0,0.344
0,1987,17,-2.9,Wytheville,APPY,Rk,CHC,51,194,169,24,53,9,3,1,28,0,1,22,39,.314,.387,.420,.807,71,,0,0,3,0,walbema01,1994.0,0.248
1,1988,18,-3.3,Charleston WV,SALL,A,CHC,104,352,312,28,68,9,0,2,24,7,5,30,44,.218,.292,.266,.558,83,,3,6,1,1,walbema01,1994.0,0.248
2,1989,19,-2.9,Peoria,MIDW,A,CHC,94,368,341,38,86,19,0,4,47,5,2,20,47,.252,.297,.343,.640,117,7,3,1,3,1,walbema01,1994.0,0.248
3,1990,20,-1.7,Peoria,MIDW,A,CHC,25,75,66,2,15,1,0,0,5,1,0,5,7,.227,.301,.242,.544,16,,2,2,0,0,walbema01,1994.0,0.248
4,1991,21,-1.1,Winston-Salem,CARL,A+,CHC,91,295,260,25,70,11,0,3,41,3,2,20,23,.269,.315,.346,.661,90,7,2,3,10,3,walbema01,1994.0,0.248
5,1992,22,-1.9,Charlotte,SOUL,AA,CHC,105,425,385,48,116,22,1,7,42,0,7,33,56,.301,.358,.418,.776,161,6,2,3,2,3,walbema01,1994.0,0.248
6,1993,23,-4.2,Iowa,AA,AAA,CHC,87,355,331,31,93,18,2,6,43,1,2,18,47,.281,.320,.402,.722,133,7,2,2,2,4,walbema01,1994.0,0.248
0,1985,21,-1.3,Fresno,CALL,A,SFG,65,289,217,41,67,14,0,10,48,11,2,62,46,.309,.458,.512,.970,111,,2,3,5,2,clarkwi02,1986.0,0.349
0,1995,18,-2.8,Idaho Falls,PION,Rk,SDP,52,219,197,36,55,8,3,5,46,0,0,17,36,.279,.338,.426,.764,84,3,1,3,1,1,davisbe01,1999.0,0.317
1,1996,19,-4.1,Rancho Cucamonga,CALL,A+,SDP,98,390,353,35,71,10,1,6,41,1,1,31,89,.201,.264,.286,.550,101,8,0,4,2,0,davisbe01,1999.0,0.317
2,1997,20,-2.9,Rancho Cucamonga,CALL,A+,SDP,122,509,474,67,132,30,1,17,76,3,1,28,107,.278,.320,.454,.773,215,11,2,2,3,2,davisbe01,1999.0,0.317
3,1998,21,-3.0,Mobile,SOUL,AA,SDP,116,489,433,65,124,29,2,14,75,4,2,42,60,.286,.352,.460,.812,199,11,6,1,7,3,davisbe01,1999.0,0.317
0,1994,18,-1.3,Cardinals,ARIZ,Rk,STL,32,135,127,17,27,4,0,1,10,4,2,7,15,.213,.259,.268,.527,34,2,1,0,0,0,polanpl01,1999.0,0.309
1,1995,19,-2.6,Peoria,MIDW,A,STL,103,394,361,43,96,7,4,2,41,7,6,18,30,.266,.303,.324,.627,117,8,2,11,2,0,polanpl01,1999.0,0.309
2,1996,20,-2.3,St. Petersburg,FLOR,A+,STL,137,582,540,65,157,29,5,0,51,4,4,24,34,.291,.323,.363,.686,196,31,5,6,7,1,polanpl01,1999.0,0.309
3,1997,21,-3.0,Arkansas,TL,AA,STL,129,549,508,71,148,16,3,2,51,19,5,29,51,.291,.331,.346,.678,176,11,3,6,3,1,polanpl01,1999.0,0.309
4,1998,22,-4.7,Memphis,PCL,AAA,STL,70,270,246,36,69,19,1,1,21,6,3,16,15,.280,.331,.378,.709,93,8,3,4,1,1,polanpl01,1999.0,0.309
0,1989,19,-2.1,Bend,NORW,A-,CAL,36,160,131,34,39,5,1,4,21,9,4,25,21,.298,.425,.443,.868,58,1,4,0,0,0,easleda01,1992.0,0.298
1,1990,20,-1.7,Quad Cities,MIDW,A,CAL,103,417,365,59,100,19,3,10,56,25,8,41,60,.274,.358,.425,.783,155,,8,1,2,0,easleda01,1992.0,0.298
2,1991,21,-3.0,Midland,TL,AA,CAL,127,525,452,73,115,24,5,6,57,23,9,58,67,.254,.347,.369,.716,167,12,7,6,2,2,easleda01,1992.0,0.298
0,1994,18,-0.8,Marlins,GULF,Rk,FLA,57,258,216,49,57,8,0,0,16,31,12,37,36,.264,.371,.301,.672,65,1,1,2,2,0,castilu01,1996.0,0.31
1,1995,19,-2.6,Kane County,MIDW,A,FLA,89,400,340,71,111,4,4,0,23,41,18,55,50,.326,.419,.362,.781,123,1,0,4,1,1,castilu01,1996.0,0.31
0,1991,21,0.3,Helena,PION,Rk,MIL,70,325,286,60,100,16,2,10,51,3,1,31,28,.350,.418,.524,.942,150,11,4,2,2,3,cirilje01,1995.0,0.379
2,1992,22,-0.5,Stockton,CALL,A+,MIL,7,31,27,2,6,1,0,0,5,0,0,2,0,.222,.323,.259,.582,7,2,2,0,0,0,cirilje01,1995.0,0.379
3,1992,22,0.5,Beloit,MIDW,A,MIL,126,545,444,65,135,27,3,9,71,21,12,84,85,.304,.417,.439,.856,195,7,6,5,6,6,cirilje01,1995.0,0.379
5,1993,23,-4.2,New Orleans,AA,AAA,MIL,58,251,215,31,63,13,2,3,32,2,1,29,33,.293,.385,.414,.799,89,7,3,4,0,0,cirilje01,1995.0,0.379
6,1993,23,-0.7,El Paso,TL,AA,MIL,67,283,249,53,85,16,2,9,41,2,3,26,37,.341,.410,.530,.940,132,5,5,0,3,1,cirilje01,1995.0,0.379
7,1994,24,-2.8,New Orleans,AA,AAA,MIL,61,268,236,45,73,18,2,10,46,4,0,28,39,.309,.386,.530,.915,125,9,2,1,1,1,cirilje01,1995.0,0.379
0,1985,21,0.4,Elmira,NYPL,A-,BOS,71,285,215,36,55,7,6,5,21,13,9,67,32,.256,.437,.414,.851,89,,2,1,0,0,anderbr01,1988.0,0.262
1,1986,22,-0.2,Winter Haven,FLOR,A,BOS,126,543,417,86,133,19,11,12,87,44,19,107,47,.319,.459,.504,.963,210,,6,7,6,5,anderbr01,1988.0,0.262
3,1987,23,-2.6,Pawtucket,IL,AAA,BOS,23,95,79,18,30,4,0,2,8,2,1,16,8,.380,.484,.506,.991,40,,0,0,0,3,anderbr01,1988.0,0.262
4,1987,23,-0.6,New Britain,EL,AA,BOS,52,219,170,30,50,4,3,6,35,7,3,45,24,.294,.445,.459,.904,78,,2,1,1,3,anderbr01,1988.0,0.262
0,1986,17,-2.3,Rangers,GULF,Rk,TEX,50,192,163,19,34,7,1,0,12,6,3,22,34,.209,.318,.264,.582,43,,5,0,2,0,palmede01,1991.0,0.311
1,1987,18,-2.9,Gastonia,SALL,A,TEX,128,527,484,51,104,16,0,9,54,4,4,36,126,.215,.277,.304,.581,147,,6,0,1,1,palmede01,1991.0,0.311
2,1988,19,-3.1,Port Charlotte,FLOR,A,TEX,74,324,305,38,81,12,1,4,35,0,0,15,69,.266,.299,.351,.650,107,12,1,,3,1,palmede01,1991.0,0.311
3,1989,20,-3.7,Tulsa,TL,AA,TEX,133,550,498,82,125,32,5,25,90,15,5,41,152,.251,.311,.486,.797,242,,4,3,4,4,palmede01,1991.0,0.311
6,1990,21,-5.2,Oklahoma City,AA,AAA,TEX,88,343,316,33,69,17,4,12,39,1,1,20,106,.218,.271,.411,.683,130,,4,0,3,0,palmede01,1991.0,0.311
7,1990,21,-2.9,Tulsa,TL,AA,TEX,7,29,24,4,7,0,1,3,9,0,1,4,10,.292,.414,.750,1.164,18,,1,0,0,1,palmede01,1991.0,0.311
